# year,month,oceanic_fraction,continental_fraction,land_fraction,forest_fraction
1.979000000000000000e+03,1.000000000000000000e+00,9.058626856557419060e-01,9.413731434425809397e-02,3.293938378931302036e-02,6.119793055494507361e-02
1.979000000000000000e+03,2.000000000000000000e+00,9.312131377558171552e-01,6.878686224418283091e-02,3.424783718865309634e-02,3.453902505552973456e-02
1.979000000000000000e+03,3.000000000000000000e+00,9.036043942252112160e-01,9.639560577478875625e-02,3.674119734984363644e-02,5.965440842494511980e-02
1.979000000000000000e+03,4.000000000000000000e+00,7.221119527074697508e-01,2.778880472925301937e-01,3.348570374478837541e-02,2.444023435477418182e-01
1.979000000000000000e+03,5.000000000000000000e+00,6.928317486086763566e-01,3.071682513913236989e-01,4.472191155624066772e-02,2.624463398350830312e-01
1.979000000000000000e+03,6.000000000000000000e+00,3.494894703302560135e-01,6.505105296697439865e-01,2.865937636607535088e-01,3.639167660089904777e-01
1.979000000000000000e+03,7.000000000000000000e+00,5.154330246155235384e-01,4.845669753844764616e-01,1.452830658970672428e-01,3.392839094874092187e-01
1.979000000000000000e+03,8.000000000000000000e+00,5.298627655088083976e-01,4.701372344911916024e-01,1.368823534625260852e-01,3.332548810286655172e-01
1.979000000000000000e+03,9.000000000000000000e+00,5.974624085997204403e-01,4.025375914002795597e-01,6.887817051547223679e-02,3.336594208848073229e-01
1.979000000000000000e+03,1.000000000000000000e+01,4.272353664296619780e-01,5.727646335703380220e-01,7.719140383262595995e-02,4.955732297377120621e-01
1.979000000000000000e+03,1.100000000000000000e+01,8.338444870601501302e-01,1.661555129398498420e-01,5.126188964096617395e-02,1.148936232988836681e-01
1.979000000000000000e+03,1.200000000000000000e+01,9.056917108228939028e-01,9.430828917710613879e-02,4.635144928920611335e-02,4.795683988790002544e-02
1.980000000000000000e+03,1.000000000000000000e+00,9.335306970960172146e-01,6.646930290398278540e-02,3.761803292059420767e-02,2.885126998338857426e-02
1.980000000000000000e+03,2.000000000000000000e+00,9.478090023595648894e-01,5.219099764043508977e-02,3.003301530529297811e-02,2.215798233514211166e-02
1.980000000000000000e+03,3.000000000000000000e+00,9.231935080360420542e-01,7.680649196395791800e-02,3.290519957494108388e-02,4.390129238901683412e-02
1.980000000000000000e+03,4.000000000000000000e+00,8.050231898233304317e-01,1.949768101766695405e-01,3.202625943609010983e-02,1.629505507405794307e-01
1.980000000000000000e+03,5.000000000000000000e+00,6.391809568484276838e-01,3.608190431515723717e-01,7.373087028774610863e-02,2.870881728638262631e-01
1.980000000000000000e+03,6.000000000000000000e+00,4.735902769811375368e-01,5.264097230188624632e-01,1.275095548239797427e-01,3.989001681948827205e-01
1.980000000000000000e+03,7.000000000000000000e+00,4.358206509163041753e-01,5.641793490836958247e-01,1.652754672899914845e-01,3.989038817937043402e-01
1.980000000000000000e+03,8.000000000000000000e+00,4.683688265379116755e-01,5.316311734620883245e-01,1.008368103705242769e-01,4.307943630915640476e-01
1.980000000000000000e+03,9.000000000000000000e+00,5.314033602450172200e-01,4.685966397549827245e-01,6.697863415373017659e-02,4.016180056012525479e-01
